NTACODE,NTA_NAME,PM_Avg,PM_tertiles,NO2_Avg,NO2_tertiles,cook_tertiles,Building_emissions,Industrial_tertiles,Traffic_tertiles
QN0301,Jackson Heights,7.404434883,High,20.75861914,Medium,High,High,Low,Medium
QN0302,East Elmhurst,6.59549328,Medium,16.24920528,Medium,Medium,Medium,Medium,High
QN0303,North Corona,7.028471685,Medium,16.10300709,Medium,Medium,Medium,Medium,Medium
QN0401,Elmhurst,7.114477731,High,22.0483594,High,High,High,High,Medium
QN0402,Corona,6.928495826,Medium,21.09074724,Medium,High,High,High,Medium
QN0501,Maspeth,7.847214016,High,19.26641269,High,Medium,Medium,High,Medium
QN0502,Ridgewood,7.943950212,High,20.76696819,Medium,High,Medium,High,Low
QN0503,Glendale,7.110924137,Medium,18.36807263,Medium,Medium,Medium,High,Medium
QN0504,Middle Village,6.502744584,Medium,15.66469831,Medium,Medium,Medium,High,Medium
QN0571,Mount Olivet & All Faiths Cemeteries,6.717724728,Low,17.86953722,Low,Low,Low,Low,Low
QN0572,Middle Village Cemetery,7.060449245,Medium,18.10686893,Medium,Low,Low,Low,Low
QN0573,St. John Cemetery,7.318283292,Medium,20.24387386,Medium,Low,Low,Low,Medium
QN0574,Highland Park-Cypress Hills Cemeteries (North),6.646547212,Low,14.99884055,Low,Low,Low,Low,High
QN0601,Rego Park,6.502019212,Medium,16.68154547,Medium,Medium,Medium,Low,High
QN0602,Forest Hills,6.738711548,Medium,16.84286375,Medium,High,High,Low,Medium
QN0701,College Point,6.585684422,Medium,14.63278184,Medium,Medium,Medium,High,Low
QN0702,Whitestone-Beechhurst,6.520322419,Medium,16.1291229,Medium,Medium,Low,High,Low
QN0703,Bay Terrace-Clearview,6.402496678,Low,13.90488913,Medium,Medium,Medium,Low,Medium
QN0704,Murray Hill-Broadway Flushing,6.993576836,Medium,15.62271049,Medium,High,Medium,Medium,Low
QN0705,East Flushing,6.472122814,Medium,14.64805555,Medium,Medium,Medium,Medium,Low
QN0706,Queensboro Hill,6.970408601,Medium,20.05792027,Medium,Low,Medium,Low,High
QN0707,Flushing-Willets Point,7.298673249,High,20.1742714,High,High,High,High,Medium
QN0761,Fort Totten,6.478691968,Low,13.82617835,Low,Low,Low,Low,Low
QN0791,Kissena Park,6.399155802,Low,14.06849424,Low,Low,Low,Low,Low
QN0801,Kew Gardens Hills,6.608600403,Low,17.28910252,Medium,Medium,Medium,Low,Low
QN0802,Pomonok-Electchester-Hillcrest,6.544674846,Low,16.04367813,Medium,Medium,Medium,Low,Low
QN0803,Fresh Meadows-Utopia,6.352192504,Low,14.20022243,Medium,Medium,Low,Medium,Medium
QN0804,Jamaica Estates-Holliswood,6.564382348,Low,15.00749514,Low,Low,Medium,Low,High
QN0805,Jamaica Hills-Briarwood,6.716813908,Medium,19.60666776,Medium,Medium,Medium,Medium,High
QN0871,Mount Hebron & Cedar Grove Cemeteries,6.552617069,Low,16.85001507,Medium,Low,Low,Low,Low
QN0891,Cunningham Park,6.425308662,Low,15.22043639,Medium,Low,Low,Low,High
QN0901,Kew Gardens,6.562940516,Medium,14.88235141,Medium,Medium,Medium,Medium,High
QN0902,Richmond Hill,6.76739085,Medium,16.67583752,Medium,High,Medium,High,Medium
QN0903,South Richmond Hill,6.629418752,Medium,14.88238719,Medium,Medium,Medium,Medium,Low
QN0904,Ozone Park (North),7.167482324,Medium,19.88619315,Medium,Low,Medium,High,Medium
QN0905,Woodhaven,7.193897231,Medium,20.56123525,Medium,Medium,Medium,Medium,Low
QN1001,South Ozone Park,6.265628218,Low,14.43843502,Low,High,Low,High,Medium
QN1002,Ozone Park,6.383351326,Low,15.2721257,Low,Medium,Low,High,Medium
QN1003,Howard Beach-Lindenwood,6.196686267,Low,14.02791399,Low,Medium,Low,Low,Medium
QN1091,Spring Creek Park,6.181963665,Low,12.43850848,Low,Low,Low,Low,Low
QN1101,Auburndale,6.781430966,Medium,16.7937564,Medium,Medium,Low,Medium,Medium
QN1102,Bayside,6.935497141,Medium,20.97833408,Medium,High,Medium,Medium,Medium
QN1103,Douglaston-Little Neck,6.366084324,Low,14.33978465,Medium,Medium,Low,Medium,Medium
QN1104,Oakland Gardens-Hollis Hills,6.441237684,Low,15.96394676,Medium,High,Medium,Low,Medium
QN1191,Alley Pond Park,6.356546662,Low,13.85791371,Low,Low,Low,Low,High
QN1201,Jamaica,6.630592995,Medium,16.32418271,Medium,High,Medium,High,Medium
QN1202,South Jamaica,6.497414513,Medium,16.70032194,Medium,Medium,Medium,High,Low
QN1203,Baisley Park,6.466524073,Low,16.21699079,Low,Medium,Low,Medium,Low
QN1204,Springfield Gardens (North)-Rochdale Village,7.321897777,Low,17.36685011,Low,Low,High,High,Low
QN1205,St. Albans,6.370893921,Low,16.21466547,Low,Medium,Low,High,Low
QN1206,Hollis,7.02300377,Low,17.58302737,Medium,Medium,Medium,Medium,Low
QN1301,Glen Oaks-Floral Park-New Hyde Park,6.321293156,Low,14.9455161,Low,Medium,Medium,Low,Low
QN1302,Bellerose,6.363166801,Low,15.08737913,Low,Medium,Low,Medium,Medium
QN1303,Queens Village,6.331581967,Low,15.36909748,Medium,Medium,Low,High,Medium
QN1304,Cambria Heights,6.240930301,Low,15.18545157,Low,Low,Low,Low,Medium
QN1305,Laurelton,6.67941246,Low,15.32146822,Low,Medium,Low,High,Low
QN1306,Springfield Gardens (South)-Brookville,7.645654925,Medium,20.83824183,Medium,Medium,Low,High,High
QN1307,Rosedale,6.496835765,Low,13.91478373,Low,Low,Low,High,High
QN1371,Montefiore Cemetery,6.185900825,Low,13.98250765,Low,Low,Low,Low,Low
QN1401,Far Rockaway-Bayswater,6.221041085,Low,9.072131585,Low,Medium,Medium,Medium,Low
QN1402,Rockaway Beach-Arverne-Edgemere,6.334510584,Low,9.451785719,Low,Medium,Medium,High,Low
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,6.043979106,Low,10.03092516,Low,Medium,Low,Low,Low
QN1491,Rockaway Community Park,6.050960621,Low,8.74790348,Low,Low,Low,Low,Low
QN8081,LaGuardia Airport,6.64387772,Low,16.90486339,High,Low,Low,Low,Low
QN8191,Flushing Meadows-Corona Park,6.616021557,Medium,16.76011273,Medium,Medium,Low,Low,High
QN8291,Forest Park,6.465123153,Low,15.29340517,Low,Low,Low,Low,High
QN8381,John F. Kennedy International Airport,6.176127587,Low,11.9202105,Low,Low,Low,Low,Low
