year,uhf_code,neighborhood,ed_rate_per_10k_age_0_4,estimated_annual_ed_visits_age_0_4,unstable_estimate
2015,202,Downtown - Heights - Slope,124.5,246.0,False
2015,207,East Flatbush - Flatbush,326.7,649.0,False
2015,303,East Harlem,714.6,508.0,False
2015,204,East New York,554.4,808.0,False
2015,403,Flushing - Clearview,129.8,183.0,False
2015,103,Fordham - Bronx Pk,636.0,1305.0,False
2015,406,Fresh Meadows,141.8,102.0,False
2015,307,Gramercy Park - Murray Hill,74.1,34.0,False
2015,201,Greenpoint,91.2,106.0,False
2015,308,Greenwich Village - SoHo,43.4,15.0,False
2015,106,High Bridge - Morrisania,846.6,1547.0,False
2015,107,Hunts Point - Mott Haven,876.5,1059.0,False
2015,408,Jamaica,347.4,697.0,False
2015,101,Kingsbridge - Riverdale,250.8,151.0,False
2015,401,Long Island City - Astoria,128.6,145.0,False
2015,310,Lower Manhattan,70.0,27.0,False
2015,102,Northeast Bronx,407.8,498.0,False
2015,104,Pelham - Throgs Neck,478.5,998.0,False
2015,501,Port Richmond,261.0,124.0,False
2015,405,Ridgewood - Forest Hills,155.5,251.0,False
2015,410,Rockaways,199.2,193.0,False
2015,504,South Beach - Tottenville,54.0,56.0,False
2015,409,Southeast Queens,203.3,233.0,False
2015,407,Southwest Queens,205.1,392.0,False
2015,502,Stapleton - St. George,199.4,145.0,False
2015,205,Sunset Park,93.7,106.0,False
2015,309,Union Square - Lower East Side,323.9,246.0,False
2015,305,Upper East Side,67.3,77.0,False
2015,304,Upper West Side,166.6,197.0,False
2015,301,Washington Heights,299.9,476.0,False
2015,402,West Queens,198.8,665.0,False
2015,211,Williamsburg - Bushwick,438.9,761.0,False
2015,503,Willowbrook,72.3,34.0,False
2016,404,Bayside - Little Neck,50.1,23.0,False
2016,203,Bedford Stuyvesant - Crown Heights,452.1,1060.0,False
2016,209,Bensonhurst - Bay Ridge,60.7,81.0,False
2016,206,Borough Park,63.2,214.0,False
2016,208,Canarsie - Flatlands,261.7,327.0,False
2016,302,Central Harlem - Morningside Heights,684.9,711.0,False
2016,306,Chelsea - Clinton,87.6,45.0,False
2016,210,Coney Island - Sheepshead Bay,124.7,215.0,False
2016,105,Crotona - Tremont,695.0,1279.0,False
2016,202,Downtown - Heights - Slope,145.0,282.0,False
2016,207,East Flatbush - Flatbush,298.1,596.0,False
2016,303,East Harlem,700.1,486.0,False
2016,204,East New York,515.3,752.0,False
2016,403,Flushing - Clearview,129.8,180.0,False
2016,103,Fordham - Bronx Pk,576.3,1169.0,False
2016,406,Fresh Meadows,132.8,94.0,False
2016,307,Gramercy Park - Murray Hill,94.6,43.0,False
2016,201,Greenpoint,102.7,117.0,False
2016,308,Greenwich Village - SoHo,55.8,19.0,False
2016,106,High Bridge - Morrisania,790.6,1427.0,False
2016,107,Hunts Point - Mott Haven,862.0,1029.0,False
2016,408,Jamaica,316.4,633.0,False
2016,101,Kingsbridge - Riverdale,205.9,122.0,False
2016,401,Long Island City - Astoria,132.6,148.0,False
2016,310,Lower Manhattan,86.2,33.0,False
2016,102,Northeast Bronx,436.1,525.0,False
2016,104,Pelham - Throgs Neck,420.1,866.0,False
2016,501,Port Richmond,284.7,135.0,False
2016,405,Ridgewood - Forest Hills,128.2,203.0,False
2016,410,Rockaways,198.7,191.0,False
2016,504,South Beach - Tottenville,50.8,52.0,False
2016,409,Southeast Queens,183.2,210.0,False
2016,407,Southwest Queens,182.3,343.0,False
2016,502,Stapleton - St. George,197.6,143.0,False
2016,205,Sunset Park,115.7,127.0,False
2016,309,Union Square - Lower East Side,276.6,207.0,False
2016,305,Upper East Side,71.0,80.0,False
2016,304,Upper West Side,152.9,178.0,False
2016,301,Washington Heights,288.5,448.0,False
2016,402,West Queens,217.0,711.0,False
2016,211,Williamsburg - Bushwick,380.8,648.0,False
2016,503,Willowbrook,75.0,35.0,False
2017,404,Bayside - Little Neck,52.7,26.0,False
2017,203,Bedford Stuyvesant - Crown Heights,358.8,840.0,False
2017,209,Bensonhurst - Bay Ridge,34.0,50.0,False
2017,206,Borough Park,39.7,140.0,False
2017,208,Canarsie - Flatlands,229.4,282.0,False
2017,302,Central Harlem - Morningside Heights,531.7,576.0,False
2017,306,Chelsea - Clinton,129.6,72.0,False
2017,210,Coney Island - Sheepshead Bay,87.0,169.0,False
2017,105,Crotona - Tremont,499.7,924.0,False
2017,202,Downtown - Heights - Slope,110.5,231.0,False
2017,207,East Flatbush - Flatbush,225.4,436.0,False
2017,303,East Harlem,550.6,370.0,False
2017,204,East New York,408.8,591.0,False
2017,403,Flushing - Clearview,107.2,159.0,False
